customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0.0,Yes,No,1.0,No,InvalidCategory,DSL,No,Yes,No,No-badformat,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No
5575-GNVDE,Male-badformat,0.0,No,No,34.0,Yes,No,DSL,,No,Yes,,No,No,One year,No,Mailed check,56.95,1889.5,No
3668-QPYBK,InvalidCategory,0.0,InvalidCategory,No,2.0,Yes,No,,Yes,Yes,No,No,No,No,,,Mailed check,53.85,108.15,Yes
7795-CFOCW,Male,0.0,No,No,45.0,No,No phone service,DSL,Yes,No,Yes,nan-badformat,No,No,One year,No,Bank transfer (automatic),42.3,,No
,Female,0.0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes
9305-CDSKC,Female,0.0,No,No,8.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes-badformat,Electronic check,99.65,,Yes
1452-KIOVK,Male,0.0,No,Yes,22.0,Yes-badformat,Yes,Fiber optic,No,Yes,No,No,Yes-badformat,No,InvalidCategory,Yes-badformat,Credit card (automatic),89.1,1949.4,No
6713-OKOMC,nan-badformat,0.0,No,No,10.0,No,No phone service,DSL,Yes,,No,No,No,No,Month-to-month,,Mailed check,29.75,InvalidCategory,No
7892-POOKP,Female,0.0,Yes,No-badformat,28.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,,Yes,Electronic check,104.8,3046.05,Yes
6388-TABGU,Male,0.0,No,Yes,62.0,Yes,,DSL,Yes-badformat,Yes,No,No,InvalidCategory,No,One year,No,Bank transfer (automatic),56.15-badformat,,No
9763-GRSKD,Male,0.0,Yes,Yes,13.0,Yes,No,DSL,,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No
